구분,title,writer,publisher,year,journal,link,abstracts
0,과학기술데이터를 위한 자연어처리 기술 동향,"정현지 ( Hyun Ji Jeong ),장광선 ( Gwangseon Jang )",한국정보처리학회,2021,한국정보처리학회 학술대회논문집,https://www.riss.kr/search/detail/DetailView.do?p_mat_type=1a0202e37d52c72d&control_no=11ea73dc5e87a4ffc85d2949c297615a&keyword=자연어 처리,"연구수행과정에서 발생하는 논문, 특허, 연구보고서 등의 과학기술데이터는 다양한 과학기술지식을 포함한다. 연구자들의 효과적인 연구를 지원하기 위해서는 과학기술데이터 분석을 통한 지식 발견이 필수적이다. 과학기술데이터는 일반 텍스트와는 다르게 다수의 전문용어를 포함하고 있으며, 고유의 양식이 정해져 있고, 텍스트 길이가 대체로 길다는 특징이 있다. 본 고에서는 이러한 과학기술데이터 만의 고유한 특징을 반영한 인공지능 기반 자연어처리 기술들을 소개함으로써 과학기술데이터 분석에 대한 이해를 돕고자 한다."
1,악성 댓글에 사용된 문자의 형태를 고려한 한국어 자연어처리를 위한 전처리 기법,"김해수 ( Hae-soo Kim ),김미희 ( Mi-hui Kim )",한국정보처리학회,2022,한국정보처리학회 학술대회논문집,https://www.riss.kr/search/detail/DetailView.do?p_mat_type=1a0202e37d52c72d&control_no=c40a0e5db96c3eebc85d2949c297615a&keyword=자연어 처리,"최근 악플에 대한 논란이 끊이지 않고 있어 이것을 해결하기위한 방법으로 자연어 처리를 이용하고 있다. 특히 소셜 미디어, 온라인 커뮤니티에서 많이 발생하고 있고 해당 매체에서는 한글을 그대로 사용하지 않고 그들의 은어를 섞어서 사용하며 그중에서 한글이 아닌 문자를 섞어서 만들어낸 문장도 있다. 이러한 문장은 기존의 모델에 학습된 데이터의 형태와 다르며 한글이 아닌 문장이 많을수록 모델의 예측이 부정확해진다는 단점이 있어 본 논문에서는 인공지능을 이용한 이미지 분류와 띄어쓰기, 오타 교정을 이용한 전처리 기법을 제안한다."
2,챗봇 환경에서 데이터 시각화 인터랙션을 위한 자연어처리 모델,"오상헌,허수진,김성희,Oh, Sang Heon,Hur, Su Jin,Kim, Sung-Hee",한국정보처리학회,2020,정보처리학회논문지. 컴퓨터 및 통신시스템,https://www.riss.kr/search/detail/DetailView.do?p_mat_type=1a0202e37d52c72d&control_no=995e194bc7faeb164884a65323211ff0&keyword=자연어 처리,"스마트폰의 보급으로 인해 개인화된 데이터를 활용하고자 하는 서비스들이 증가하고 있다. 특히, 헬스케어와 관련된 서비스들은 다양한 데이터를 다루며, 이를 효과적으로 보여주기 위해 데이터 시각화 기법을 활용하고 있다. 데이터 시각화 기법이 활용되면서 자연스럽게 시각화에서의 인터랙션 또한 함께 강조되고 있다. PC 환경에서 데이터 시각화에 대한 인터랙션은 마우스로 이루어지기 때문에, 데이터에 대한 필터링이 다양하게 제공되고 있다. 반면, 모바일 환경에서의 인터랙션은 화면의 크기가 작고, 인터랙션 가능 여부를 인지하기 어려워 버튼 터치 방식으로 앱에서 제공하는 제한된 시각화만을 제공받을 수 있다. 이러한 모바일 환경에서의 인터랙션 한계를 극복하기 위해, 챗봇과의 대화를 통해 데이터 시각화 인터랙션을 가능하게 하여 사용자들에게 개개인의 데이터를 다양한 시각화를 통해 확인할 수 있도록 하고자 한다. 이를 위해서는 사용자의 질의를 쿼리로 변환하여, 주기적으로 데이터를 축적하고 있는 데이터베이스에서 변환된 쿼리를 통해 결과 데이터를 불러올 수 있어야 한다. 자연어를 쿼리로 변환하는 연구는 현재 많이 이루어지고 있지만, 시각화를 기반으로 하여 사용자의 질의를 쿼리로 변환하는 연구에 대해서는 아직 이루어지지 않았다. 따라서, 본 논문에서는 사전에 데이터 시각화 기법이 정해진 상황에서의 쿼리 생성에 초점을 맞추고자 한다. 지원하는 인터랙션은 태스크 x-축 값에 대한 필터링 및 두 그룹 간 비교이다. 테스트 시나리오는 걸음 수에 대한 데이터를 활용하였으며, x-축 기간에 대한 필터링은 바 그래프, 두 그룹간 비교는 라인 그래프로 나타내었다. 시각화를 통해 요청한 정보를 제공받을 수 있는 자연어처리 모델을 개발하기 위해 1,000명을 대상으로 한 설문조사를 통해 약 15,800개의 학습 데이터를 수집하였다. 알고리즘 개발 및 성능 평가를 진행한 결과, 분류 모델에서는 약 89%, 쿼리 생성 모델에서는 약 99% 정확도를 보였다. With the spread of smartphones, services that want to use personalized data are increasing. In particular, healthcare-related services deal with a variety of data, and data visualization techniques are used to effectively show this. As data visualization techniques are used, interactions in visualization are also naturally emphasized. In the PC environment, since the interaction for data visualization is performed with a mouse, various filtering for data is provided. On the other hand, in the case of interaction in a mobile environment, the screen size is small and it is difficult to recognize whether or not the interaction is possible, so that only limited visualization provided by the app can be provided through a button touch method. In order to overcome the limitation of interaction in such a mobile environment, we intend to enable data visualization interactions through conversations with chatbots so that users can check individual data through various visualizations. To do this, it is necessary to convert the user's query into a query and retrieve the result data through the converted query in the database that is storing data periodically. There are many studies currently being done to convert natural language into queries, but research on converting user queries into queries based on visualization has not been done yet. Therefore, in this paper, we will focus on query generation in a situation where a data visualization technique has been determined in advance. Supported interactions are filtering on task x-axis values and comparison between two groups. The test scenario utilized data on the number of steps, and filtering for the x-axis period was shown as a bar graph, and a comparison between the two groups was shown as a line graph. In order to develop a natural language processing model that can receive requested information through visualization, about 15,800 training data were collected through a survey of 1,000 people. As a result of algorithm development and performance evaluation, about 89% accuracy in classification model and 99% accuracy in query generation model was obtained."
3,클라우드 환경에서 자연어처리 기법을 활용한 취약점 분석 시스템 설계,"송진수 ( Jin-su Song ),이필원 ( Pil-won Lee ),신용태 ( Young-tea Shin )",한국정보처리학회,2021,한국정보처리학회 학술대회논문집,https://www.riss.kr/search/detail/DetailView.do?p_mat_type=1a0202e37d52c72d&control_no=b3d6b0147136f61d7ecd42904f0c5d65&keyword=자연어 처리,최근 4차 산업혁명의 기술이 발전하며 인공지능과 클라우드 컴퓨팅의 융합에 대한 연구가 활발하게 진행되고 있으며 클라우드 컴퓨팅에 컨테이너 기술을 접목한 새로운 컴퓨팅 환경이 주목받고 있다. 그러나 현재 사용되고 있는 컨테이너 기반의 가상화 기술은 컨테이너 실행에 필요한 파일과 설정 값을 포함하고 있는 컨테이너 이미지를 통해 배포하는 방식을 사용하고 다수의 컨테이너가 하나의 커널을 공유하기 때문에 취약한 패키지를 사용하는 컨테이너 이미지가 다수의 사용자와 공유 되어 시스템 보안이 매우 취약하다 이에 본 논문에서는 자연어처리 기법을 활용한 취약점 분석 시스템을 통해 컨테이너를 실행에 필요한 파일과 설정 값을 포함하고 있는 컨테이너 이미지에서 취약점을 분석하는 시스템을 제안한다.
4,자연어처리를 기반으로 한 코로나 정보 제공 챗봇 시스템,"송호연 ( Ho-yeon Song ),곽찬우 ( Chan-woo Gwak ),이동원 ( Dong-won Lee ),이윤수 ( Yun-soo Lee )",한국정보처리학회,2020,한국정보처리학회 학술대회논문집,https://www.riss.kr/search/detail/DetailView.do?p_mat_type=1a0202e37d52c72d&control_no=76ba9d4a68dcf9056aae8a972f9116fb&keyword=자연어 처리,"본 논문에서는 코로나 바이러스로 인한 불편함을 겪는 사람들에게 코로나 관련 정보를 편리하게 제공하기 위해 인공지능 기반의 챗봇을 개발하였다. 인공지능 기술이 도입됨에 따라 챗봇이 여러 기관에서 고객 응대를 포함한 다양한 업무를 수행하고 있다는 점에 착안하여 IBM Watson Assistant 를 활용한다. Watson Assistant는 사용자가 입력한 말을 자연어 처리를 통해 분석하여 문장을 생성한 후 사용자에게 전달한다. Intent와 Entitiy를 통해 질의의 행위와 주체를 입력한 후 높은 빈도가 예상되는 질문을 작성하고, Dialog를 통해 대화 흐름을 파악한다. 사용자는 Axure로 설계된 사용자 인터페이스를 통해 대화 전송, 정보 수신 등 동작을 취할 수 있으며, 각 언어에 맞는 SDK 라이브러리를 제공한다는 이점을 활용하여 Node.js로 화면에서 발생하는 액션과 데이터 전달을 처리한다."
5,119 신고 데이터를 이용한 자연어처리 기반 재난안전 상황 분류 알고리즘 분석,"권수정,강윤희,이용학,이민호,박성호,강명주",한국정보처리학회,2020,정보처리학회논문지. 소프트웨어 및 데이터 공학,https://www.riss.kr/search/detail/DetailView.do?p_mat_type=1a0202e37d52c72d&control_no=6ea7d8ef2d6ca8d447de9c1710b0298d&keyword=자연어 처리,"Due to the development of artificial intelligence, it is used as a disaster response support system in the field of disaster. Disasters can occur anywhere, anytime. In the event of a disaster, there are four types of reports: fire, rescue, emergency, and other call. Disaster response according to the 119 call also responds differently depending on the type and situation. In this paper, 1280 data set of 119 calls were tested with 3 classes of SVM, NB, k-NN, DT, SGD, and RF situation classification algorithms using a training data set. Classification performance showed the highest performance of 92% and minimum of 77%. In the future, it is necessary to secure an effective data set by disaster in various fields to study disaster response. 인공지능의 발달로 인하여 재난 분야에서는 재난대응 지원 시스템으로 이용되고 있다. 재난은 언제 어디서든지 발생할 수 있으며, 재난 발생 시 소방청 119 신고접수대에 접수되는 신고는 크게 화재, 구조, 구급, 기타 신고 등 4가지로 구분된다. 119 신고에 따른 재난 대응도 그 종류 및 상황에 따라 다르게 대응된다. 본 논문에서는 119 신고 데이터 1280개 문서를 학습 데이터 셋을 이용하여 SVM, NB, k-NN, DT, SGD, RF 상황 분류 기계학습 알고리즘을 3 클래스로 테스트한 분류 성능은 최고 92%, 최소 77%의 성능을 보였다. 인공지능의 발달로 인하여 재난 분야에서는 재난 대응 지원 시스템으로 이용되고 있다. 재난은 언제 어디서든지 발생할 수 있으며, 재난 발생 시 소방청 119 신고접수대에 접수되는 신고는 크게 화재, 구조, 구급, 기타 신고 등 4가지로 구분된다. 119 신고에 따른 재난대응도 그 종류 및 상황에 따라 다르게 대응된다. 본 논문에서는 119 신고 데이터 1280개 문서를 학습 데이터 셋을 이용하여 SVM, NB, k-NN, DT, SGD, RF 상황 분류 알고리즘을 3 클래스로 테스트한 분류 성능은 최고 92%, 최소 77%의 성능을 보였다. 앞으로 다양한 분야의 재난별 데이터 셋을 확보하여 효율적인 재난 대응 연구가 필요하다."
6,‘홀로:HolLaw’ 자연어처리(NLP)와 SBERT를 사용한 판례 분석 서비스,"윤승현 ( Seung-hyeon Yoon ),김상윤 ( Sang-yoon Kim ),이정민 ( Jeong-min Lee ),오지민 ( Ji-min Oh ),김나연 ( Na-yeon Kim )",한국정보처리학회,2022,한국정보처리학회 학술대회논문집,https://www.riss.kr/search/detail/DetailView.do?p_mat_type=1a0202e37d52c72d&control_no=27ef89972f9487b4e9810257f7042666&keyword=자연어 처리,"본 서비스는 문서 내의 가중치를 분석하여 키워드와 관련된 순서대로 정렬하여 판례/법률 검색의 정확도를 향상할 것을 제안한다. 상용화된 다른 판례/법률 관련 서비스의 경우, 키워드 검색을 통해 자신의 사례를 검색할 때, 요약된 정보가 없거나 너무 짧아 사용자가 원하는 판례/법률 결과를 얻을 수가 없어 본 서비스를 기획하게 되었다."
7,단문 텍스트의 자연어 처리 기법을 통한 크라우드 펀딩 추천 시스템 개발,"이영아 ( Yeong-ah Lee ),이선명 ( Sun-myung Lee ),이주연 ( Ju-yon Lee ),이기용 ( Ki Yong Lee )",한국정보처리학회,2021,한국정보처리학회 학술대회논문집,https://www.riss.kr/search/detail/DetailView.do?p_mat_type=1a0202e37d52c72d&control_no=a5508041a41a02e96aae8a972f9116fb&keyword=자연어 처리,"최근 자연어 처리에 대한 관심이 증가함에 따라 자연어 처리 기술을 활용한 다양한 추천 시스템이 등장하고 있다. 본 논문에서는 자연어 처리를 이용한 서비스를 개발한다. 본 논문에서 개발한 서비스는 KoNLPy 와 Word2Vec 을 이용하여 크라우드 펀딩 프로젝트 창작자 및 후원자에게 키워드 및 키워드와 유사한 단어가 제목에 포함되는 프로젝트를 추천해준다. 단문 텍스트로서 프로젝트 제목을 사용하여 데이터를 자연어 처리 한 후, 딥러닝 모델에 적용시켜 추출한 데이터를 기반으로 창작자와 후원자에게 추천해주는 방식이다. 따라서 본 서비스는 프로젝트 제목 정보를 통한 추천 시스템의 개발로, 나아가 영화, 도서와 같은 콘텐츠 추천 분야에도 적용할 수 있을 것으로 기대한다."
8,자연어 처리를 위한 조건부 게이트 다층 퍼셉트론 모델 개발 및 구현,"손규진 ( Guijin Son ),김승원 ( Seungone Kim ),주세준 ( Se June Joo ),조우진 ( Woojin Cho ),나정은 ( Jeongeun Nah )",한국정보처리학회,2021,한국정보처리학회 학술대회논문집,https://www.riss.kr/search/detail/DetailView.do?p_mat_type=1a0202e37d52c72d&control_no=6b4d00c6ad4ffc977f7a54760bb41745&keyword=자연어 처리,"2018 년 Google 사의 사전 학습된 언어 인공지능 BERT 를 기점으로, 자연어 처리 학계는 주요 구조를 유지한 채 경쟁적으로 모델을 대형화하는 방향으로 발전했다. 그 결과, 오늘날 자연어 인공지능은 거대 사기업과 그에 준하는 컴퓨팅 자원을 소유한 연구단체만의 전유물이 되었다. 본 논문에서는 다층 퍼셉트론을 병렬적으로 배열해 자연어 인공지능을 제작하는 기법의 모델을 제안하고, 이를 적용한‘조건부 게이트 다층 퍼셉트론 모델(SG-MLP)’을 구현하고 그 결과를 비교 관찰하였다. SG-MLP 는 BERT 의 20%에 해당하는 사전 학습량만으로 다수의 지표에서 그것과 준하는 성능을 보였고, 동일한 과제에 대해 더 적은 연산 비용을 소요한다."
9,컴퓨터비전과 자연어 처리를 활용한 표정 인식 디지털 미디어아트 구현에 관한 연구,"한재상 ( Han Jae-sang ),강윤서 ( Kang Yoon-seo ),권채연 ( Kwon Chae Yeon ),허원제 ( Heo Won-jae ),김영종 ( Youngjong Kim )",한국정보처리학회,2022,한국정보처리학회 학술대회논문집,https://www.riss.kr/search/detail/DetailView.do?p_mat_type=1a0202e37d52c72d&control_no=797af60460375c337f7a54760bb41745&keyword=자연어 처리,"본 논문은 자연어 처리와 Face Detection 기술을 활용하여 사용자의 현재 감정 상태에 따른 디지털 미디어 아트를 구현하는 방법을 기술한다. 사용자의 현재 표정과 감정을 분석하고, 감정에 따라 다양한 시각 효과 및 다른 성격의 텍스트를 화면에 송출하는 방식으로 사용자와 상호작용한다."
